,Fecha_Retiro,viajes
1,10/1/2013,1
2,11/20/2013,1
3,2/4/2014,1
4,2/24/2014,1
5,2/26/2014,2
6,2/28/2014,86
7,3/1/2014,13982
8,3/2/2014,12459
9,3/3/2014,29311
10,3/4/2014,31771
11,3/5/2014,31794
12,3/6/2014,31488
13,3/7/2014,29235
14,3/8/2014,14210
15,3/9/2014,11112
16,3/10/2014,29566
17,3/11/2014,31497
18,3/12/2014,31577
19,3/13/2014,31557
20,3/14/2014,29440
21,3/15/2014,12832
22,3/16/2014,11101
23,3/17/2014,10509
24,3/18/2014,30588
25,3/19/2014,30358
26,3/20/2014,30760
27,3/21/2014,29365
28,3/22/2014,14081
29,3/23/2014,13163
30,3/24/2014,29405
31,3/25/2014,30509
32,3/26/2014,31926
33,3/27/2014,30923
34,3/28/2014,29070
35,3/29/2014,13760
36,3/30/2014,9783
37,3/31/2014,29485
38,4/1/2014,26858
39,4/2/2014,30150
40,4/3/2014,30667
41,4/4/2014,29295
42,4/5/2014,12984
43,4/6/2014,11226
44,4/7/2014,28850
45,4/8/2014,29866
46,4/9/2014,29721
47,4/10/2014,29879
48,4/11/2014,28197
49,4/12/2014,12379
50,4/13/2014,11267
51,4/14/2014,21768
52,4/15/2014,20758
53,4/16/2014,22262
54,4/17/2014,10246
55,4/18/2014,4336
56,4/19/2014,7801
57,4/20/2014,9680
58,4/21/2014,23333
59,4/22/2014,25052
60,4/23/2014,26491
61,4/24/2014,26859
62,4/25/2014,25493
63,4/26/2014,13807
64,4/27/2014,11690
65,4/28/2014,27901
66,4/29/2014,27847
67,4/30/2014,27159
68,5/1/2014,11976
69,5/2/2014,24216
70,5/3/2014,9930
71,5/4/2014,10416
72,5/5/2014,23673
73,5/6/2014,27933
74,5/7/2014,26086
75,5/8/2014,25222
76,5/9/2014,27913
77,5/10/2014,9444
78,5/11/2014,11674
79,5/12/2014,26658
80,5/13/2014,25830
81,5/14/2014,29101
82,5/15/2014,28145
83,5/16/2014,27615
84,5/17/2014,13283
85,5/18/2014,11330
86,5/19/2014,27754
87,5/20/2014,29709
88,5/21/2014,28322
89,5/22/2014,26196
90,5/23/2014,24842
91,5/24/2014,10671
92,5/25/2014,10719
93,5/26/2014,25822
94,5/27/2014,28046
95,5/28/2014,26159
96,5/29/2014,28343
97,5/30/2014,21354
98,5/31/2014,10450
99,6/1/2014,11115
100,6/2/2014,27210
101,6/3/2014,28643
102,6/4/2014,26376
103,6/5/2014,27244
104,6/6/2014,24925
105,6/7/2014,10357
106,6/8/2014,8572
107,6/9/2014,22341
108,6/10/2014,26452
109,6/11/2014,25854
110,6/12/2014,27900
111,6/13/2014,25819
112,6/14/2014,12042
113,6/15/2014,9853
114,6/16/2014,23041
115,6/17/2014,23432
116,6/18/2014,22298
117,6/19/2014,22884
118,6/20/2014,21071
119,6/21/2014,10866
120,6/22/2014,10032
121,6/23/2014,20164
122,6/24/2014,20496
123,6/25/2014,21228
124,6/26/2014,22974
125,6/27/2014,26118
126,6/28/2014,11525
127,6/29/2014,8120
128,6/30/2014,19852
129,7/1/2014,27632
130,7/2/2014,25190
131,7/3/2014,26866
132,7/4/2014,21991
133,7/5/2014,10404
134,7/6/2014,9111
135,7/7/2014,24370
136,7/8/2014,27205
137,7/9/2014,25452
138,7/10/2014,26042
139,7/11/2014,26558
140,7/12/2014,13006
141,7/13/2014,9192
142,7/14/2014,24408
143,7/15/2014,25261
144,7/16/2014,23948
145,7/17/2014,21622
