"","Fecha_Retiro","viajes"
"1",2015-11-30,1
"2",2016-03-12,1
"3",2016-04-25,1
"4",2016-05-14,1
"5",2016-06-25,1
"6",2016-06-30,4
"7",2016-07-01,7795
"8",2016-07-02,4856
"9",2016-07-03,4103
"10",2016-07-04,11678
"11",2016-07-05,11766
"12",2016-07-06,11894
"13",2016-07-07,10500
"14",2016-07-08,11346
"15",2016-07-09,4981
"16",2016-07-10,4143
"17",2016-07-11,10069
"18",2016-07-12,10925
"19",2016-07-13,11504
"20",2016-07-14,11844
"21",2016-07-15,11738
"22",2016-07-16,4112
"23",2016-07-17,3843
"24",2016-07-18,9316
"25",2016-07-19,11849
"26",2016-07-20,11403
"27",2016-07-21,10767
"28",2016-07-22,10278
"29",2016-07-23,4796
"30",2016-07-24,4033
"31",2016-07-25,8743
"32",2016-07-26,11497
"33",2016-07-27,10055
"34",2016-07-28,10702
"35",2016-07-29,10603
"36",2016-07-30,4224
"37",2016-07-31,3955
"38",2016-08-01,26389
"39",2016-08-02,26678
"40",2016-08-03,31064
"41",2016-08-04,31254
"42",2016-08-05,27233
"43",2016-08-06,10272
"44",2016-08-07,10818
"45",2016-08-08,26677
"46",2016-08-09,29393
"47",2016-08-10,31983
"48",2016-08-11,31340
"49",2016-08-12,27871
"50",2016-08-13,13488
"51",2016-08-14,11916
"52",2016-08-15,30951
"53",2016-08-16,28092
"54",2016-08-17,31791
"55",2016-08-18,32149
"56",2016-08-19,26826
"57",2016-08-20,11826
"58",2016-08-21,11108
"59",2016-08-22,31624
"60",2016-08-23,29263
"61",2016-08-24,24974
"62",2016-08-25,31186
"63",2016-08-26,29264
"64",2016-08-27,12550
"65",2016-08-28,12185
"66",2016-08-29,31564
"67",2016-08-30,34494
"68",2016-08-31,34839
"69",2016-09-01,34259
"70",2016-09-02,31310
"71",2016-09-03,13136
"72",2016-09-04,10726
"73",2016-09-05,30665
"74",2016-09-06,34265
"75",2016-09-07,33731
"76",2016-09-08,34022
"77",2016-09-09,32367
"78",2016-09-10,14553
"79",2016-09-11,10613
"80",2016-09-12,30342
"81",2016-09-13,32507
"82",2016-09-14,34034
"83",2016-09-15,27324
"84",2016-09-16,8542
"85",2016-09-17,10566
"86",2016-09-18,11327
"87",2016-09-19,32187
"88",2016-09-20,32765
"89",2016-09-21,30073
"90",2016-09-22,35044
"91",2016-09-23,29692
"92",2016-09-24,14388
"93",2016-09-25,10962
"94",2016-09-26,32563
"95",2016-09-27,32282
"96",2016-09-28,23731
"97",2016-09-29,31384
"98",2016-09-30,29328
"99",2016-10-01,14577
"100",2016-10-02,12227
"101",2016-10-03,33237
"102",2016-10-04,35166
"103",2016-10-05,35252
"104",2016-10-06,35132
"105",2016-10-07,32634
"106",2016-10-08,14358
"107",2016-10-09,9550
"108",2016-10-10,32876
"109",2016-10-11,33946
"110",2016-10-12,32486
"111",2016-10-13,34630
"112",2016-10-14,33705
"113",2016-10-15,14611
"114",2016-10-16,11449
"115",2016-10-17,34032
"116",2016-10-18,35978
"117",2016-10-19,35765
"118",2016-10-20,34613
"119",2016-10-21,32079
"120",2016-10-22,13888
"121",2016-10-23,11730
"122",2016-10-24,33740
"123",2016-10-25,34948
"124",2016-10-26,35136
"125",2016-10-27,33064
"126",2016-10-28,30742
"127",2016-10-29,18895
"128",2016-10-30,10026
"129",2016-10-31,29567
"130",2016-11-01,30277
"131",2016-11-02,16535
"132",2016-11-03,32052
"133",2016-11-04,31717
"134",2016-11-05,14067
"135",2016-11-06,12230
"136",2016-11-07,33893
"137",2016-11-08,25928
"138",2016-11-09,23969
"139",2016-11-10,27691
"140",2016-11-11,30148
"141",2016-11-12,13660
"142",2016-11-13,11211
"143",2016-11-14,32193
"144",2016-11-15,34124
"145",2016-11-16,24283
"146",2016-11-17,31952
"147",2016-11-18,32537
"148",2016-11-19,11074
"149",2016-11-20,9951
"150",2016-11-21,11158
"151",2016-11-22,32647
"152",2016-11-23,33089
"153",2016-11-24,32671
"154",2016-11-25,30222
"155",2016-11-26,13549
"156",2016-11-27,10996
"157",2016-11-28,32261
"158",2016-11-29,34252
"159",2016-11-30,34362
"160",2016-12-01,33211
"161",2016-12-02,30862
"162",2016-12-03,13700
"163",2016-12-04,11070
"164",2016-12-05,32515
"165",2016-12-06,34227
"166",2016-12-07,34359
"167",2016-12-08,33233
"168",2016-12-09,30445
"169",2016-12-10,13232
"170",2016-12-11,10631
"171",2016-12-12,27034
"172",2016-12-13,33633
"173",2016-12-14,33326
"174",2016-12-15,27604
"175",2016-12-16,28824
"176",2016-12-17,13817
"177",2016-12-18,10569
"178",2016-12-19,27646
"179",2016-12-20,28352
"180",2016-12-21,27254
"181",2016-12-22,25495
"182",2016-12-23,21248
"183",2016-12-24,7023
"184",2016-12-25,4046
"185",2016-12-26,16739
"186",2016-12-27,18971
"187",2016-12-28,19189
"188",2016-12-29,18057
"189",2016-12-30,15340
"190",2016-12-31,6899
"191",2017-01-01,4656
"192",2017-01-02,20797
"193",2017-01-03,26040
"194",2017-01-04,27551
"195",2017-01-05,28444
"196",2017-01-06,26191
"197",2017-01-07,12912
"198",2017-01-08,9739
"199",2017-01-09,31350
"200",2017-01-10,33228
"201",2017-01-11,33744
"202",2017-01-12,33309
"203",2017-01-13,31736
"204",2017-01-14,13534
"205",2017-01-15,12292
"206",2017-01-16,33591
"207",2017-01-17,34645
"208",2017-01-18,34456
"209",2017-01-19,33646
"210",2017-01-20,32434
"211",2017-01-21,14296
"212",2017-01-22,12610
"213",2017-01-23,33874
"214",2017-01-24,35666
"215",2017-01-25,35679
"216",2017-01-26,35302
"217",2017-01-27,32608
"218",2017-01-28,14747
"219",2017-01-29,11956
"220",2017-01-30,34079
"221",2017-01-31,35571
"222",2017-02-01,35993
"223",2017-02-02,34699
"224",2017-02-03,33052
"225",2017-02-04,12827
"226",2017-02-05,10484
"227",2017-02-06,10924
"228",2017-02-07,35025
"229",2017-02-08,36525
"230",2017-02-09,35753
"231",2017-02-10,34357
"232",2017-02-11,17082
"233",2017-02-12,13264
"234",2017-02-13,35173
"235",2017-02-14,35847
"236",2017-02-15,36576
"237",2017-02-16,35664
"238",2017-02-17,34169
"239",2017-02-18,15244
"240",2017-02-19,13126
"241",2017-02-20,35277
"242",2017-02-21,36950
"243",2017-02-22,36942
"244",2017-02-23,36345
"245",2017-02-24,33846
"246",2017-02-25,14919
"247",2017-02-26,12814
"248",2017-02-27,34688
"249",2017-02-28,36891
"250",2017-03-01,36261
"251",2017-03-02,35692
"252",2017-03-03,32606
"253",2017-03-04,14421
"254",2017-03-05,12552
"255",2017-03-06,35195
"256",2017-03-07,36779
"257",2017-03-08,35641
"258",2017-03-09,33449
"259",2017-03-10,33183
"260",2017-03-11,15025
"261",2017-03-12,12060
"262",2017-03-13,33688
"263",2017-03-14,34334
"264",2017-03-15,28582
"265",2017-03-16,32376
"266",2017-03-17,33242
"267",2017-03-18,13091
"268",2017-03-19,10910
"269",2017-03-20,11365
"270",2017-03-21,34881
"271",2017-03-22,36747
"272",2017-03-23,36647
"273",2017-03-24,33557
"274",2017-03-25,14427
"275",2017-03-26,12160
"276",2017-03-27,34769
"277",2017-03-28,37135
"278",2017-03-29,37034
"279",2017-03-30,36267
"280",2017-03-31,34293
"281",2017-04-01,14654
"282",2017-04-02,12346
"283",2017-04-03,96
"284",2017-04-04,37210
"285",2017-04-05,36836
"286",2017-04-06,32116
"287",2017-04-07,33904
"288",2017-04-08,14442
"289",2017-04-09,12101
"290",2017-04-10,29195
"291",2017-04-11,28879
"292",2017-04-12,26770
"293",2017-04-13,11123
"294",2017-04-14,9335
"295",2017-04-15,9547
"296",2017-04-16,10404
"297",2017-04-17,27550
"298",2017-04-18,26681
"299",2017-04-19,34015
"300",2017-04-20,33950
"301",2017-04-21,32492
"302",2017-04-22,15346
"303",2017-04-23,13346
"304",2017-04-24,33883
"305",2017-04-25,36281
"306",2017-04-26,36835
"307",2017-04-27,36501
"308",2017-04-28,33813
"309",2017-04-29,14252
"310",2017-04-30,11473
"311",2017-05-01,11434
"312",2017-05-02,33159
"313",2017-05-03,36097
"314",2017-05-04,30627
"315",2017-05-05,30630
"316",2017-05-06,15277
"317",2017-05-07,12721
"318",2017-05-08,31890
"319",2017-05-09,36802
"320",2017-05-10,29392
"321",2017-05-11,31734
"322",2017-05-12,33598
"323",2017-05-13,14538
"324",2017-05-14,12883
"325",2017-05-15,34886
"326",2017-05-16,37619
"327",2017-05-17,37721
"328",2017-05-18,35301
"329",2017-05-19,34194
"330",2017-05-20,14748
"331",2017-05-21,12167
"332",2017-05-22,32250
"333",2017-05-23,36903
"334",2017-05-24,36240
"335",2017-05-25,31036
"336",2017-05-26,34581
"337",2017-05-27,14786
"338",2017-05-28,12803
"339",2017-05-29,33724
"340",2017-05-30,37808
"341",2017-05-31,34906
"342",2017-06-01,34568
"343",2017-06-02,33913
"344",2017-06-03,15305
"345",2017-06-04,12670
"346",2017-06-05,35108
"347",2017-06-06,34525
"348",2017-06-07,33744
"349",2017-06-08,36083
"350",2017-06-09,34284
"351",2017-06-10,14911
"352",2017-06-11,12400
"353",2017-06-12,35708
"354",2017-06-13,33639
"355",2017-06-14,31464
"356",2017-06-15,36253
"357",2017-06-16,34833
"358",2017-06-17,14885
"359",2017-06-18,11381
"360",2017-06-19,34772
"361",2017-06-20,36897
"362",2017-06-21,36517
"363",2017-06-22,36622
"364",2017-06-23,34939
"365",2017-06-24,13879
"366",2017-06-25,12059
"367",2017-06-26,30702
"368",2017-06-27,31125
"369",2017-06-28,28181
"370",2017-06-29,30645
"371",2017-06-30,31596
"372",2017-07-01,12342
"373",2017-07-02,11081
"374",2017-07-03,30379
"375",2017-07-04,32810
"376",2017-07-05,32436
"377",2017-07-06,34436
"378",2017-07-07,31541
"379",2017-07-08,10805
"380",2017-07-09,10774
"381",2017-07-10,27667
"382",2017-07-11,27832
"383",2017-07-12,31779
"384",2017-07-13,33591
"385",2017-07-14,32021
"386",2017-07-15,14426
"387",2017-07-16,10940
"388",2017-07-17,32846
"389",2017-07-18,32867
"390",2017-07-19,33616
"391",2017-07-20,32550
"392",2017-07-21,28957
"393",2017-07-22,11718
"394",2017-07-23,10076
"395",2017-07-24,25810
"396",2017-07-25,26777
"397",2017-07-26,32477
"398",2017-07-27,30218
"399",2017-07-28,31308
"400",2017-07-29,13862
"401",2017-07-30,12434
"402",2017-07-31,32982
"403",2017-08-01,34483
"404",2017-08-02,34516
"405",2017-08-03,30522
"406",2017-08-04,31409
"407",2017-08-05,13877
"408",2017-08-06,12468
"409",2017-08-07,33593
"410",2017-08-08,35547
"411",2017-08-09,32018
"412",2017-08-10,23522
"413",2017-08-11,30929
"414",2017-08-12,14381
"415",2017-08-13,12315
"416",2017-08-14,32458
"417",2017-08-15,35997
"418",2017-08-16,36112
"419",2017-08-17,30809
"420",2017-08-18,29459
"421",2017-08-19,13905
"422",2017-08-20,12909
"423",2017-08-21,34354
"424",2017-08-22,36485
"425",2017-08-23,36792
"426",2017-08-24,36366
"427",2017-08-25,31382
"428",2017-08-26,13389
"429",2017-08-27,12152
"430",2017-08-28,26867
"431",2017-08-29,28761
"432",2017-08-30,25373
"433",2017-08-31,30416
"434",2017-09-01,29007
"435",2017-09-02,13968
"436",2017-09-03,11373
"437",2017-09-04,32304
"438",2017-09-05,32396
"439",2017-09-06,32669
"440",2017-09-07,34468
"441",2017-09-08,28102
"442",2017-09-09,10582
"443",2017-09-10,11101
"444",2017-09-11,34911
"445",2017-09-12,36356
