"","d$nombre_act","d$latitud","d$longitud"
"1","Bufetes jurídicos",19.40710837,-99.18278684
"2","Bufetes jurídicos",19.42350264,-99.16111698
"3","Bufetes jurídicos",19.41425997,-99.17023442
"4","Bufetes jurídicos",19.42062667,-99.16987193
"5","Bufetes jurídicos",19.43846498,-99.15714007
"6","Bufetes jurídicos",19.43394708,-99.13831385
"7","Bufetes jurídicos",19.39018841,-99.16153619
"8","Bufetes jurídicos",19.38875034,-99.17749659
"9","Bufetes jurídicos",19.39275544,-99.1726063
"10","Bufetes jurídicos",19.41716552,-99.16916944
"11","Bufetes jurídicos",19.43119852,-99.18412951
"12","Bufetes jurídicos",19.39942713,-99.16262736
"13","Bufetes jurídicos",19.41638998,-99.15629339
"14","Bufetes jurídicos",19.42940864,-99.16903602
"15","Bufetes jurídicos",19.44866886,-99.15691012
"16","Bufetes jurídicos",19.43623801,-99.20435852
"17","Bufetes jurídicos",19.41961195,-99.17429932
"18","Bufetes jurídicos",19.4522217,-99.13195192
"19","Bufetes jurídicos",19.3896522,-99.17142648
"20","Bufetes jurídicos",19.42055644,-99.16761448
"21","Bufetes jurídicos",19.42699466,-99.21996244
"22","Bufetes jurídicos",19.36548987,-99.18901231
"23","Bufetes jurídicos",19.43715058,-99.18419259
"24","Bufetes jurídicos",19.42592096,-99.17086048
"25","Bufetes jurídicos",19.4330103,-99.20634955
"26","Bufetes jurídicos",19.41948361,-99.16899607
"27","Bufetes jurídicos",19.43329656,-99.13952893
"28","Bufetes jurídicos",19.43298669,-99.14115257
"29","Bufetes jurídicos",19.43336486,-99.15068647
"30","Bufetes jurídicos",19.38523712,-99.18614096
"31","Bufetes jurídicos",19.42494265,-99.15506817
"32","Bufetes jurídicos",19.38210646,-99.17660055
"33","Bufetes jurídicos",19.41143714,-99.16625337
"34","Bufetes jurídicos",19.42014292,-99.14573114
"35","Bufetes jurídicos",19.41354827,-99.14225697
"36","Bufetes jurídicos",19.41816944,-99.14787308
"37","Bufetes jurídicos",19.43318459,-99.15836167
