id,stations.id,lat,lon,X1,X2,X3,X4,X5
1,448,19.426611,-99.14447,324,923,1459,1620,2079
2,443,19.359655,-99.162025,514,906,1314,1641,1956
3,416,19.371308,-99.177607,630,938,1265,1702,2092
4,437,19.36480833,-99.17602222,143,1003,1239,1702,1974
5,438,19.36479722,-99.17458333,82,1191,1446,1867,1974
6,440,19.36065,-99.168669,617,1191,1545,1788,1896
7,347,19.384378,-99.176097,174,1125,1458,1828,2163
8,350,19.384062,-99.181482,207,1178,1391,1828,2169
9,356,19.381292,-99.170171,186,1200,1517,1858,2175
10,361,19.3804457,-99.1762233,289,976,1458,1836,2163
11,368,19.379246,-99.179344,224,943,1371,1667,2140
12,369,19.379884,-99.177478,32,976,1458,1836,2163
13,372,19.37797,-99.170289,266,1141,1405,1667,1982
14,379,19.375751,-99.17084,266,757,1327,1870,1982
15,402,19.3709452,-99.1587223,418,1160,1317,1770,2065
16,3,19.431655,-99.158668,552,937,1319,1748,2154
17,12,19.432313,-99.161597,281,705,1555,1682,1999
18,13,19.423778,-99.175558,65,877,1500,1637,2067
19,16,19.42653,-99.169164,109,1174,1320,1865,1961
20,17,19.427501,-99.167125,111,854,1377,1730,1983
21,19,19.43001,-99.161675,647,1006,1398,1600,2018
22,21,19.423317,-99.175124,65,1113,1500,1637,2067
23,36,19.419725,-99.175778,17,1046,1501,1569,1891
24,47,19.419515,-99.166299,502,681,1533,1817,2002
25,41,19.435637,-99.150137,387,1119,1397,1815,2147
26,55,19.434356,-99.138064,53,862,1468,1850,2155
27,57,19.414903,-99.17495,204,1010,1549,1631,2009
28,66,19.411402,-99.178666,621,829,1519,1608,2093
29,74,19.410343,-99.172831,220,898,1369,1778,2014
30,63,19.413681,-99.171531,562,712,1521,1562,2078
31,70,19.411272,-99.169718,140,1142,1521,1592,2061
32,88,19.433815,-99.135303,657,706,1468,1587,2038
33,72,19.409893,-99.179544,67,1065,1519,1699,2094
34,86,19.432378,-99.159077,552,1040,1406,1748,2154
35,102,19.42821,-99.13949,347,1004,1459,1625,1915
36,110,19.42513,-99.14339,324,923,1459,1769,1876
37,111,19.438371,-99.166474,590,1053,1309,1564,1965
38,112,19.432819,-99.151734,29,891,1397,1815,2005
39,123,19.424161,-99.153117,545,845,1495,1822,2157
40,150,19.409965,-99.164292,38,875,1284,1779,1923
41,154,19.406683,-99.167962,632,1078,1529,1864,1943
42,171,19.402584,-99.178199,510,995,1535,1644,2166
43,173,19.401682,-99.176398,652,995,1548,1634,2166
44,174,19.44111,-99.16164,504,828,1379,1710,1986
45,204,19.435882,-99.19152,151,1013,1375,1808,1880
46,197,19.440077,-99.204316,162,682,1425,1672,1987
47,227,19.431791,-99.207373,445,934,1387,1816,1975
48,181,19.404976,-99.175095,652,1126,1504,1628,1949
49,232,19.42894,-99.185389,181,967,1304,1643,2045
50,237,19.426744,-99.193986,176,1148,1386,1647,2090
51,238,19.426765,-99.193752,176,1148,1386,1647,2090
52,234,19.42783,-99.191539,225,1148,1462,1670,2051
53,243,19.440839,-99.196712,357,700,1375,1651,1879
54,248,19.43175,-99.177399,455,1132,1477,1613,2044
55,250,19.429057,-99.17966,203,922,1283,1849,2099
56,253,19.425835,-99.177924,103,883,1300,1580,2122
57,255,19.437159,-99.161808,504,1207,1379,1582,1986
58,259,19.43757,-99.15468,645,836,1330,1815,2147
59,261,19.423704,-99.175196,65,1113,1500,1637,2067
60,264,19.440985,-99.152935,446,1118,1330,1815,2147
61,265,19.440839,-99.152265,446,1118,1330,1815,2147
62,273,19.442707,-99.152956,446,1118,1330,1574,2147
63,277,19.401807,-99.15909,292,1155,1407,1679,2040
64,278,19.40071,-99.163831,197,1008,1520,1872,1938
65,271,19.442689,-99.152465,446,1118,1330,1574,2147
66,283,19.39827,-99.167383,77,956,1336,1754,2162
67,288,19.396333,-99.183575,535,1164,1337,1708,2111
68,305,19.394693,-99.175531,271,740,1321,1622,2089
69,308,19.393594,-99.178072,52,729,1269,1568,2089
70,310,19.395319,-99.181733,271,1173,1335,1708,2145
71,311,19.393665,-99.185391,535,892,1366,1708,1990
72,313,19.391431,-99.178989,640,813,1224,1568,2010
73,321,19.389477,-99.157513,55,732,1249,1655,1904
74,322,19.388528,-99.160616,93,815,1469,1683,1967
75,325,19.3881779,-99.1696894,138,685,1419,1578,1970
76,251,19.429261,-99.17538,290,1194,1258,1758,1991
77,252,19.427575,-99.17702,674,915,1455,1580,1985
78,249,19.429877,-99.177569,41,1169,1534,1573,2044
79,246,19.434147,-99.179835,322,1058,1254,1613,1988
80,247,19.432102,-99.180565,260,1165,1242,1573,2131
81,452,19.435031,-99.179838,322,1150,1380,1613,1988
82,439,19.36218889,-99.17246667,617,1191,1545,1788,1896
83,436,19.366217,-99.177819,308,759,1239,1702,2092
84,423,19.367631,-99.175342,143,1003,1525,1702,2148
85,435,19.365154,-99.172906,82,1191,1446,1867,1896
86,420,19.369723,-99.17964,191,759,1408,1702,2092
87,421,19.369467,-99.179401,191,759,1408,1702,2092
88,422,19.368356,-99.177487,308,1003,1408,1702,2092
89,349,19.385688,-99.180857,207,1178,1391,1828,2143
90,334,19.386568,-99.175089,153,728,1268,1697,2076
91,326,19.388978,-99.174811,202,684,1456,1697,2126
92,266,19.444031,-99.152187,446,1118,1330,1574,2147
93,267,19.443735,-99.152203,446,1118,1330,1574,2147
94,268,19.442448,-99.151586,446,1118,1330,1574,2147
95,269,19.442467,-99.151658,446,1118,1330,1574,2147
96,272,19.443467,-99.152491,446,1118,1330,1574,2147
97,274,19.442772,-99.153289,446,1118,1330,1574,2147
98,275,19.441062,-99.153164,446,1118,1330,1815,2147
99,176,19.442689,-99.152286,446,1118,1330,1574,2147
100,348,19.385365,-99.178216,74,1125,1247,1828,2143
101,362,19.382207,-99.181043,597,976,1516,1828,2174
102,363,19.380813,-99.183851,400,901,1516,1828,2138
103,353,19.382168,-99.178808,301,976,1426,1828,2163
104,262,19.43693,-99.13395,336,706,1222,1718,2038
105,260,19.435354,-99.147742,387,730,1397,1621,1966
106,105,19.426755,-99.135014,366,893,1423,1668,1950
107,106,19.42649,-99.133537,366,848,1423,1668,1950
108,107,19.427329,-99.149971,342,738,1495,1822,2034
109,108,19.427305,-99.149533,342,738,1495,1822,2034
110,109,19.425311,-99.137421,366,780,1423,1719,2074
111,65,19.436142,-99.139906,173,885,1468,1850,2101
112,87,19.43182,-99.13974,338,858,1468,1743,2155
113,89,19.434946,-99.133989,415,706,1222,1814,2038
114,90,19.431698,-99.132446,340,706,1328,1814,1885
115,91,19.4374,-99.137571,473,885,1222,1718,2101
116,92,19.436531,-99.131497,474,706,1222,1674,1885
117,93,19.436741,-99.134811,336,706,1222,1718,2038
118,94,19.433766,-99.130918,474,706,1222,1674,1885
119,95,19.430722,-99.133698,117,866,1328,1814,2038
120,96,19.430625,-99.14248,170,1140,1468,1743,1915
121,97,19.429189,-99.132759,117,848,1328,1668,1950
122,98,19.430267,-99.14861,184,994,1397,1762,2164
123,99,19.42995,-99.14591,184,994,1459,1762,2079
124,100,19.428485,-99.1338,117,848,1328,1668,1950
125,101,19.428366,-99.135895,117,1004,1423,1719,2038
126,82,19.433115,-99.143686,641,1012,1468,1621,2059
127,52,19.436236,-99.142039,358,722,1468,1621,2101
128,48,19.433686,-99.146557,180,730,1468,1621,1966
129,43,19.435228,-99.146063,580,730,1468,1621,1966
130,29,19.434913,-99.149939,387,730,1397,1815,2147
131,192,19.42592,-99.190755,601,1148,1462,1670,2051
132,193,19.425907,-99.190733,601,1148,1462,1670,2051
133,194,19.424282,-99.180334,103,742,1465,1642,2122
134,195,19.424926,-99.185147,619,900,1463,1837,1898
135,258,19.4167,-99.1791,60,1042,1501,1569,2156
136,49,19.416712,-99.175704,265,687,1549,1569,2015
137,50,19.416938,-99.173648,581,716,1457,1569,2075
138,53,19.414773,-99.178433,204,1182,1430,1569,2156
139,54,19.416215,-99.170825,639,878,1230,1562,1884
140,58,19.41568,-99.171793,639,1009,1230,1562,1884
141,67,19.411797,-99.17588,621,1116,1369,1608,2014
142,68,19.411556,-99.17406,562,1116,1369,1778,2014
143,60,19.414191,-99.177123,204,1182,1430,1569,2156
144,62,19.413322,-99.175202,204,1116,1369,1631,2078
145,11,19.430992,-99.163593,546,861,1389,1764,1930
146,20,19.430964,-99.160206,615,937,1406,1748,2154
147,18,19.42836,-99.165543,306,1195,1293,1764,2046
148,14,19.424768,-99.173261,210,870,1433,1792,2080
149,15,19.425477,-99.171567,669,810,1532,1635,1932
150,4,19.428309,-99.171713,602,1158,1231,1635,2043
151,5,19.42972,-99.169363,470,882,1344,1787,2043
152,6,19.430922,-99.166959,631,847,1301,1729,2102
153,7,19.425468,-99.175166,210,760,1440,1792,2067
154,1,19.433296,-99.168051,280,932,1471,1753,1901
155,2,19.431386,-99.171695,199,873,1228,1615,2058
156,9,19.428009,-99.169918,602,1041,1394,1787,2117
157,104,19.427059,-99.137116,117,837,1423,1719,2038
158,124,19.422392,-99.150358,314,679,1495,1822,2157
159,122,19.425502,-99.146337,206,923,1459,1620,2079
160,357,19.380598,-99.1669248,154,863,1441,1745,2028
161,358,19.380168,-99.164222,154,709,1518,1745,2098
162,359,19.379269,-99.161169,393,986,1249,1823,2098
163,360,19.3790279,-99.1628259,154,863,1257,1823,2098
164,324,19.3872468,-99.1656554,157,834,1469,1712,1967
165,343,19.384099,-99.160826,209,986,1424,1683,1904
166,344,19.382107,-99.162243,209,972,1424,1823,2098
167,335,19.387003,-99.173504,153,1172,1486,1697,2076
168,336,19.385531,-99.169673,500,1177,1392,1589,2027
169,337,19.384849,-99.16704,500,1177,1518,1734,2027
170,338,19.384249,-99.163273,209,972,1424,1683,1904
171,373,19.377968,-99.166663,154,863,1405,1747,2028
172,374,19.376964,-99.161116,110,727,1528,1823,2062
173,282,19.398692,-99.161273,292,998,1378,1679,2040
174,279,19.399908,-99.166553,675,1062,1343,1756,2162
175,323,19.389026,-99.163403,157,929,1469,1683,1967
176,316,19.391056,-99.1712,526,1038,1236,1771,1893
177,317,19.391456,-99.166157,136,889,1469,1695,2086
178,318,19.392249,-99.164127,136,889,1469,1704,1978
179,319,19.391991,-99.162684,7,889,1469,1657,1967
180,291,19.397651,-99.169946,279,860,1294,1838,2024
181,292,19.396917,-99.166264,77,956,1336,1742,2162
182,293,19.397373,-99.164598,12,956,1378,1571,2162
183,298,19.394073,-99.16214,321,795,1378,1657,2011
184,299,19.394601,-99.165054,472,1149,1354,1704,2011
185,300,19.393268,-99.168333,568,1129,1362,1704,1945
186,301,19.393807,-99.171133,118,1159,1362,1677,2024
187,302,19.393832,-99.171466,118,775,1362,1677,2024
188,377,19.375394,-99.16375,110,727,1257,1825,2062
189,378,19.375823,-99.168076,266,717,1327,1609,1968
190,390,19.373228,-99.17826,70,943,1265,1629,1973
191,391,19.373142,-99.178283,70,943,1265,1629,1973
192,394,19.372437,-99.171592,431,747,1316,1629,2148
193,395,19.373742,-99.169814,266,747,1327,1870,1968
194,396,19.371554,-99.170187,431,747,1360,1629,2148
195,397,19.373194,-99.167247,483,776,1311,1609,1968
196,398,19.37103,-99.16566,483,767,1287,1777,1968
197,399,19.372407,-99.164519,110,767,1287,1777,1968
198,400,19.3726458,-99.1642743,110,767,1287,1777,1968
199,433,19.363558,-99.170819,82,1191,1545,1788,1896
200,434,19.363776,-99.171498,82,1191,1545,1788,1896
201,424,19.367208,-99.170531,431,699,1360,1867,1974
202,425,19.367087,-99.16741,483,1095,1360,1867,1896
203,413,19.369782,-99.171906,431,938,1428,1867,2148
204,414,19.370187,-99.173712,356,938,1428,1629,2148
205,415,19.371498,-99.17602,630,938,1435,1629,2092
206,285,19.399688,-99.177524,161,996,1461,1605,2166
207,286,19.399201,-99.179943,510,995,1461,1605,1994
208,287,19.398946,-99.183254,510,723,1337,1708,1994
209,175,19.400806,-99.172645,178,969,1509,1634,1886
210,172,19.403365,-99.181553,510,1188,1527,1795,2072
211,166,19.406069,-99.183549,1,1097,1365,1795,2072
212,167,19.404651,-99.179375,510,867,1527,1644,2013
213,168,19.403997,-99.1776,510,1184,1527,1644,1949
214,169,19.403019,-99.174934,652,1080,1548,1634,1949
215,170,19.404029,-99.184342,401,844,1365,1812,2170
216,383,19.375764,-99.181527,70,943,1267,1702,2140
217,366,19.378345,-99.181973,224,901,1371,1653,2138
218,428,19.363418,-99.160353,514,832,1314,1641,1956
219,431,19.36145,-99.15822,514,832,1314,1656,1971
220,432,19.361296,-99.162581,514,906,1314,1641,1956
221,444,19.359384,-99.159425,514,832,1314,1656,1956
222,445,19.35827,-99.156105,514,832,1314,1656,1971
223,446,19.3591196,-99.1561282,514,832,1314,1656,1971
224,242,19.440344,-99.20105,162,700,1271,1672,1879
225,244,19.440885,-99.193315,151,769,1375,1651,1879
226,245,19.438165,-99.190368,151,769,1490,1808,1880
227,177,19.408841,-99.181692,1,1097,1519,1699,2094
228,178,19.406833,-99.180457,515,1105,1527,1644,2013
229,73,19.410245,-99.175612,621,1193,1369,1608,2014
230,75,19.408722,-99.17669,67,1065,1302,1608,2014
231,76,19.409439,-99.170462,140,856,1521,1871,1943
232,77,19.406765,-99.178321,67,982,1443,1644,2013
233,78,19.407503,-99.177382,67,744,1302,1608,2013
234,79,19.407534,-99.174427,550,798,1511,1626,1995
235,80,19.407307,-99.172118,139,989,1339,1626,1995
236,81,19.408006,-99.168475,267,897,1529,1757,1943
237,61,19.413742,-99.169525,439,712,1352,1562,2078
238,69,19.410733,-99.168111,302,1142,1529,1861,1923
239,59,19.415121,-99.166661,547,881,1421,1760,2061
240,83,19.406296,-99.172117,330,899,1339,1628,1995
241,84,19.40702,-99.169587,655,903,1529,1826,1943
242,71,19.411423,-99.171351,562,898,1521,1778,2014
243,64,19.412877,-99.166986,626,881,1421,1597,2061
244,179,19.404452,-99.171438,330,1166,1399,1634,2039
245,180,19.404554,-99.169953,253,1166,1339,1869,2041
246,182,19.402089,-99.17139,178,1187,1509,1634,2041
247,417,19.373262,-99.184333,218,988,1307,1607,1944
248,418,19.371152,-99.183034,508,988,1307,1702,2135
249,419,19.370606,-99.181502,48,759,1265,1702,2135
250,384,19.375873,-99.185583,188,988,1307,1653,1924
